# @echo "cylinder not seen" 
# @./minirt test/cylinder/test_input_one_cylinder_1_not_seen.rt 
cylinder seen from outside
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 200.468534 | t->dist_cap: 200.313203 | clang!
dist infinite: 202.240180 | t->dist_cap: 200.303404 | clang!
dist infinite: 202.240180 | t->dist_cap: 200.303404 | clang!
dist infinite: 205.300936 | t->dist_cap: 200.287070 | clang!
dist infinite: 205.300936 | t->dist_cap: 200.287070 | clang!
dist infinite: 207.852822 | t->dist_cap: 200.274003 | clang!
dist infinite: 207.852822 | t->dist_cap: 200.274003 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 211.181475 | t->dist_cap: 200.257667 | clang!
dist infinite: 211.181475 | t->dist_cap: 200.257667 | clang!
dist infinite: 211.866714 | t->dist_cap: 200.254400 | clang!
dist infinite: 211.866714 | t->dist_cap: 200.254400 | clang!
dist infinite: 211.866714 | t->dist_cap: 200.254400 | clang!
dist infinite: 211.866714 | t->dist_cap: 200.254400 | clang!
dist infinite: 211.181475 | t->dist_cap: 200.257667 | clang!
dist infinite: 211.181475 | t->dist_cap: 200.257667 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 209.830818 | t->dist_cap: 200.264201 | clang!
dist infinite: 207.852822 | t->dist_cap: 200.274003 | clang!
dist infinite: 207.852822 | t->dist_cap: 200.274003 | clang!
dist infinite: 205.300936 | t->dist_cap: 200.287070 | clang!
dist infinite: 205.300936 | t->dist_cap: 200.287070 | clang!
dist infinite: 202.240180 | t->dist_cap: 200.303404 | clang!
dist infinite: 202.240180 | t->dist_cap: 200.303404 | clang!
dist infinite: 204.677600 | t->dist_cap: 200.290337 | clang!
dist infinite: 204.677600 | t->dist_cap: 200.290337 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 209.165189 | t->dist_cap: 200.267468 | clang!
dist infinite: 213.257557 | t->dist_cap: 200.247865 | clang!
dist infinite: 213.257557 | t->dist_cap: 200.247865 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 216.858851 | t->dist_cap: 200.231527 | clang!
dist infinite: 219.875797 | t->dist_cap: 200.218456 | clang!
dist infinite: 219.875797 | t->dist_cap: 200.218456 | clang!
dist infinite: 222.223447 | t->dist_cap: 200.208652 | clang!
dist infinite: 222.223447 | t->dist_cap: 200.208652 | clang!
dist infinite: 223.831194 | t->dist_cap: 200.202115 | clang!
dist infinite: 223.831194 | t->dist_cap: 200.202115 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 224.648331 | t->dist_cap: 200.198847 | clang!
dist infinite: 223.831194 | t->dist_cap: 200.202115 | clang!
dist infinite: 223.831194 | t->dist_cap: 200.202115 | clang!
dist infinite: 222.223447 | t->dist_cap: 200.208652 | clang!
dist infinite: 222.223447 | t->dist_cap: 200.208652 | clang!
dist infinite: 219.875797 | t->dist_cap: 200.218456 | clang!
